,Texts,SWN Analysis,Emotions
452,"Those who criticize someone just because they expressed their dissatisfaction and anger here, let me tell you something. You do realize this is what we called confession right? Even this platform is called usm confession right? And you do know that these people are unable to express and share their feelings to their friends and family just because they would feel like a burden. And this is why they express their anger in here because this is the only platform th… See More",Negative,"{'Happy': 0.07, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.4, 'Fear': 0.27}"
453,以后junior 要租外面的房子 可以试试看呢,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
454,"I saw this on tik tok, guys im scared",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
455,太郁闷了。功课真的被另外的学生抄了。想了那么久的idea。就这样经老师的手被她分享给她的朋友。她的朋友还是我的同学。这是什么辈分呢。不帮不行，帮了自己委屈。世界怎么就那么黑暗的。做人还是少都点书。不管工作还是读书都那么不公平的。坐享其成的人，多了个去了。只想问那些抄的人，拿别人功課当example的人，良心不痛吗？还是你根本没有良心。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
456,really wanna join palapes but overweight ... does any senior know whether palapes will recruit those who exceed the bmi limit? and does the fitness test difficult?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25}"
457,Sota Year 1 sem 2 的 Lee****** 你好可爱 听说你很喜欢跳舞 等回campus 我陪你一起跳舞好不好,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
458,有一个朋友不知道哪里来的优越感，一直说雪兰莪没有了槟城就会很惨。请问何以见得？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
460,"Yo to the friend who stands on letting ppl release their anger, sadness and disappointment here (aka hate posting, for me it's similar)… See More",Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.17}"
461,快要考试了 来这里抒发一下心情,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
462,说的就是你,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
463,"我到底怎么了？,LineHayat愿意帮助你。虽然我们的支持服务尚未推出，但是我们想通过分享一些有用的资源来提供你精神上的支持。… See More",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
464,"Hi everyone, i came here to ask for advice because i dont like showing how i really feel to my friends to not keep them worried and id like to keep everyone around me happy so I do hope id get some idea about whats going on with me here: Today, unannounced, I was studying for my finals and my mind started wandering places in the past, I randomly remembered one certain memory and before i even realised it my heart started beating so fast, as if someone was clench… See More",Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.23, 'Fear': 0.38}"
465,"Study week = 1 week, 7 days",Neutral,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
466,"Hi admin can you please ask for printing service in usm that opens on Sunday? Thank youuu,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.75}"
468,please suggest some good food you MUST try while in penang,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
470,"想问下在拿着JPA PIDN的朋友们~ 如果terima了, 之后填form的时候需不需要填saksi?",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
471,I know I never blend in with you all that well. I'll accept that ignoring of almost everything I tried to chat. The cold shoulder is annoying. Moral of the story: never force yourself to blend in... It's fine to be alone too,Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.5, 'Fear': 0.17}"
473,I just want to share my personal elevator etiquette.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
474,＃升学,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
475,Mechanical engineering 的senior们，你们都有用平板来做笔记或者是做作业吗？,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
476,我很讨厌一种人 你需要他 问他东西的时候 他迟回复 或者seen你 又或者直接不看 等整个星期了 才seen 你 那时候你已经忘记了 然后需要你时就整天在线 一直问你 问了你 当他知道了他所要知道的答案 又是seen你 或者 一句谢谢 哦哦 都没有... 我有点不习惯和这样的人打交道叻,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
477,考完试就毕业了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
478,女生们看过来,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
479,"I don't like the feeling where I don't understand what is my fault. Why I've been treated this way by people even the closest one to me. Why, just why? Is it my existence is wrong? I'm tired of being scapegoat. Just because I'm an emotional person, get angry easily, but it doesn't mean that I was angry and being emotional for no reason. Tf, I'm tired too. I just want you guys to understand me. Hear me out. Instead of making me worse. Instead making my mental sta… See More",Positive,"{'Happy': 0.08, 'Angry': 0.15, 'Surprise': 0.08, 'Sad': 0.46, 'Fear': 0.23}"
480,此文有点长，但我想只有写这篇文章才能抒发自己。疫情肆虐，每天我都听见救护车声彼起彼落。曾经认为理所当然的自由，全都变成了奢侈的想法。我对远在他乡的亲人很是想念，总盼着有一天大家可以战胜疫情，平安健在，开心团聚。曾经我有满满的负面想法，但想到身边的人，想到雨后天晴的那一天，想到我喜爱的事物，就好像没那么难过了 。虽然每天待在家里非常闷，但换个角度想，游子们有家还归不得，待在家的我们其实很幸运了。我常常看见此网页有人有想不开的念头，所以我希望有困难的人，就去寻求各方面帮助吧，千万别选择结束自己的人生，因为存活下来的人多数都说，结束自己生命前的那一刹那，都会后悔。那些怪政府，怪友族，怪天怪地的人，我想说，你自己又做好本分，保护好自己和家人了吗？（无恶意）我只想说，只要照顾好自己，存活到最后，就是赢家。最后，我希望我和我身边的人，还有看到帖子的你，都可以平安度过这场灾难。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
481,无意间发现c**rse h*ro满满都是lect准备给我们的slide和tuto答案，到底是哪一个阴险的coursemate把他全部上载去c**rse h*ro！甚至有些还是班里其他人交的功课！很过分好吗，替lect心疼，好心好意准备答案给我们refer，却被这样滥用了。。这位朋友，你不要这样糟蹋lect的心血好吗。我推测他上载是因为要得到free access去view expert的答案  请大神告诉我如何report那个c**rse h*ro的户口,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
482,其实用data看黄片在缴付电话费时会不会显示在电费单历史记录的，小女看了又有点担心怕家人发现到。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
484,今日静思晨语分享：,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
485,Which state is the best I don't know lah,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
486,Do anyone have experience doing masters or PhD? how's the career prospects in industry?Can do part-time?can do PhD out of leisure? PhD is a paid programme or scholarship funded?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
487,Final exam 真的很难熬啊,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
488,USM选人是不是看男的有型/帅，女的可爱/没？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
489,就是有些人，你帮她/他当很好朋友，可你自己却可有可无的帮忙工具人。想到突然这个科目那个人也拿有人可以帮您，才想起这个人。只能说那个人有点傻，也或许是在装傻，看来他是把她看得很重要的朋友，才会二话不说就帮吧～那位仁兄好醒醒了，乐于帮助别人不是这样用的，你把她当很重要很要好的朋友，她呢？？ 你找人家当作没看到。还会为了找你帮忙突然回来找你安抚你，隔天找你帮忙，你什么也没抱怨，反而觉得帮她你开心，理解你的心情，你值得更好的啦～加油不要被欺负利用都不懂啊～,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
490,I'm so lost... Insomnia and focusing problem troubles for almost a month yet I'm still in the exam weeks. I feel like I'm eagerly need a counselor to talk to. Shud I keep it until get the exam done? Or shud I seek help from USM counsellors as soon as possible?,Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.2}"
491,请问如果成功apply KOK，然后下学期credit满了 在申请科系的时候可以drop吗？Or 需要填表格呢,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
493,Abt cp*11* exam today:,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
494,"I hate to be anywhere. Feel like want to be alone. At house, with family- I don’t have peace, ya of course I get clothes, food, drink, and most importantly family’s love towards me (I guess so). At university, I don’t like to be around with any friends. I don’t know what to do. Nowadays, I hate myself and feel wanna d*e. But I want to live my life happily, if can I don’t want to depend on anyone…maybe one good job, one small house, and me with myself are enough … See More",Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.31, 'Fear': 0.15}"
495,"Looking for a room to rent near USM, Penang (Sungai Dua, Gelugor...as long as near USM).",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
497,Any DRAMA &TEATER seniors here? Would like to pm and ask you all a few qs if you may?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
499,人生中唯一 一次的青春，转眼间就这么结束了。真的是“就这么”就结束了。曾经幻想的热血，曾经幻想的冲动，不顾一切 转眼间已经烟消云散。… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
500,看着大家都在问＂我cgpa 3.＋＋ 能不能进到什么什么科？＂,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
501,现在疫情状态，有什么工作适合半工半读Master吗？目前做了接近三年的工作需要加班 如果做着边读master更本应付不来，有什么方法呢？求解,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
502,It’s kinda long and I’m sorry   first for all I love this community and I’m not trying to spread negativity just wanna raise some awareness.,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.33}"
507,《Chocolate》,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
509,要毕业，也等于要失业了。我想要读master我想去外国进修，但是我没有钱。如果一直打工，我工钱可能不会太高。酱我要好久都存不到要去外国进修的费用（我讲的是美国，英国那些）. 你们有什么工作好介绍的？ 还是有没有sugar daddy mummy 的？我要钱！！！！！,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
510,"I hate online exam!!! There are so much people are cheating. Even exam with proctoring, they still can place note on their table, and answer on their table. Camera only capture their face but not the material on their table and what they are doing on the table",Negative,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25}"
511,前阵子看到一篇关于“某些人”专门喜欢在帖子底下留言讽刺或批评谩骂的文章，说的非常有道理。我不是很明白为什么会有人自以为幽默就在帖子下留下不负责任的comment? 可能你以为你的留言会引起大家的注意和很有趣幽默，可是这样的风气对我来说有点恶心。也许有的人只是想抱怨和吐槽，希望有人来慰藉慰藉心灵，可楼下的哥哥姐姐弟弟妹妹们，你们扪心自问你们到底是关心还是想红？也想提醒你们，每当我看到有这种comment，我都会点开你们的profile看看是何方妖魔鬼怪，所以要吐槽批评负能量的话请重新匿名投稿，这样就不丢脸了，但如果你不怕丢脸那倒是无所谓。尤xx，你是不是在想该怎么批评这篇文章呢？最近你太猖狂了我无法忽视你，只不过问个问题你叫人家自己解决？能解决也不会被你看到了。当然有时候看到很有爱的comments，是打从心底感觉很温暖，人间处处有温暖，谢谢有心人。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
513,疫情期间父母整天吵架，我真的是受不了了。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
515,How are the foreign language courses?,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
517,"各位学长学姐好，我STPM 4.0，,MUET Band 2， SPM 英文 D，我想问USM的管理系（如果放第一选择）有多大机会拿到？（因为我band 2而已，怕拿不到）… See More",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
518,How to end LDR,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
519,我不明白为什么有些人总爱播报自己的进度，事实上没有人有兴趣知道。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
520,想问看SOM的senior们，可以在一个sem拿8 credit的minor的吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
522,有科学家做过壁虎智力的研究吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
523,"The semester break is getting closer. Many of you are planning to go back to your respective hometown. I am from RST hostel encouraging students to donate items if they want to throw away such as clothes, laundry detergent, food and stationery. Instead of throwing better give to others. One man's trash is another man's treasure. Thank You.",Positive,"{'Happy': 0.0, 'Angry': 0.4, 'Surprise': 0.2, 'Sad': 0.0, 'Fear': 0.4}"
525,perlis people scare caz we are like zombie to them,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
526,今天真的很想跳下去，但还是没有。可能你会问我为什么。其实我也不太清楚，只是可能在那个时候找到了活下去的动力吧。感觉过去的自己总是为别人而活着，但是经过了这次，我却很希望自己能够有机会感受到看着自己一步一步成长的幸福感。我希望看到这个 post 的你能够好好地珍惜自己的存在，然后一步一步地走向未来更加优秀，坚强的自己，要相信自己是可以的。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
527,"please allow every year 1 go back to the campus next year, if everyone is vaccinated",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
528,Just wondering will USM provide vaccination to all the staff and students?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
531,Reply to #USMCFS26387 or #USMCFS26284… See More,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
532,幸福不是財富多、權大、位高，而是自在、快樂、平安,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
533,"HFE 224 做第一题整个elearn 就down, 明明开始之前我试了都没问题。。。是elearn垃圾还是我样衰？",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
534,"I'm currently worried about our internship. The covid cases increase day by day and more factories closed down already. If we failed to do our intership, do we have to extend another year?",Negative,"{'Happy': 0.75, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.0}"
